nohup: ignoring input
2026/04/21 05:07:43 socat[166] N PTY is /dev/pts/2
2026/04/21 05:07:43 socat[166] N PTY is /dev/pts/3
2026/04/21 05:07:43 socat[166] N starting data transfer loop with FDs [5,5] and [7,7]
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 60) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:55 socat[166] N write(5, 0x5a4b1f1d8000, 76) completed
2026/04/21 05:09:55 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 12) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 53) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 60) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 77) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 12) completed
2026/04/21 05:09:56 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:09:56 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:13:46 socat[166] N write(5, 0x5a4b1f1d8000, 4) completed
2026/04/21 05:13:46 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:13:47 socat[166] N write(5, 0x5a4b1f1d8000, 94) completed
2026/04/21 05:13:47 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:13:47 socat[166] N write(5, 0x5a4b1f1d8000, 4) completed
2026/04/21 05:13:47 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 60) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 76) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 12) completed
2026/04/21 05:41:33 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:33 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 54) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 53) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 60) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 77) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 75) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 74) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 12) completed
2026/04/21 05:41:34 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:41:34 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:42:09 socat[166] N write(5, 0x5a4b1f1d8000, 4) completed
2026/04/21 05:42:09 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:42:09 socat[166] N write(5, 0x5a4b1f1d8000, 94) completed
2026/04/21 05:42:09 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 05:42:10 socat[166] N write(5, 0x5a4b1f1d8000, 4) completed
2026/04/21 05:42:10 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
2026/04/21 06:44:31 socat[166] N write(5, 0x5a4b1f1d8000, 1) completed
2026/04/21 06:44:31 socat[166] N write(7, 0x5a4b1f1d8000, 1) completed
